"","Package","Built"
"222","RcppRoll","3.4.2"
"223","RCurl","3.4.3"
"224","readr","3.4.0"
"225","readxl","3.4.4"
"226","recipes","3.4.3"
"227","rematch","3.4.0"
"228","rematch2","3.4.1"
"229","reprex","3.4.2"
"230","repurrrsive","3.4.1"
"231","reshape","3.4.1"
"232","reshape2","3.4.3"
"233","reticulate","3.4.4"
"234","rex","3.4.2"
"235","rgdal","3.4.4"
"236","rgl","3.4.4"
"237","RgoogleMaps","3.4.4"
"238","rhandsontable","3.4.3"
"239","rio","3.4.4"
"240","rJava","3.4.4"
"241","RJDBC","3.4.4"
"242","rjson","3.4.4"
"243","RJSONIO","3.4.0"
"244","rlang","3.4.4"
"245","rmarkdown","3.4.2"
"246","robustbase","3.4.4"
"247","ROCR","3.4.0"
"248","ROSE","3.4.0"
"249","rpart","3.4.3"
"250","rpart.plot","3.4.4"
"251","RPostgreSQL","3.4.1"
"252","rprojroot","3.4.3"
"253","rsconnect","3.4.4"
"254","RSQLite","3.4.4"
"255","rstan","3.4.3"
"256","rstudioapi","3.4.1"
"257","rvest","3.4.0"
"258","scales","3.4.1"
"259","sdcMicro","3.4.4"
"260","selectr","3.4.4"
"261","sets","3.4.3"
"262","sf","3.4.4"
"263","sfsmisc","3.4.4"
"264","shiny","3.4.4"
"265","shinyBS","3.4.0"
"266","shinydashboard","3.4.4"
"267","skimr","3.4.2"
"268","sourcetools","3.4.4"
"269","sp","3.4.2"
"270","SparseM","3.4.0"
"271","spatial","3.4.2"
"272","spData","3.4.2"
"273","splines","3.4.2"
"274","SQUAREM","3.4.2"
"275","StanHeaders","3.4.3"
"276","stargazer","3.4.4"
"277","stats","3.4.2"
"278","stats4","3.4.2"
"279","storr","3.4.2"
"280","stringdist","3.4.4"
"281","stringi","3.4.2"
"282","stringr","3.4.4"
"283","styler","3.4.4"
"284","survival","3.4.4"
"285","tcltk","3.4.2"
"286","testthat","3.4.3"
"287","tibble","3.4.3"
"288","tidyr","3.4.4"
"289","tidyselect","3.4.3"
"290","tidyverse","3.4.2"
"291","tigris","3.4.4"
"292","timeDate","3.4.3"
"293","tinytex","3.4.4"
"294","tools","3.4.2"
"295","TTR","3.4.3"
"296","units","3.4.4"
"297","usethis","3.4.3"
"298","utf8","3.4.2"
"299","utils","3.4.2"
"300","uuid","3.4.0"
"301","vcd","3.4.3"
"302","VIM","3.4.0"
"303","viridis","3.4.4"
"304","viridisLite","3.4.3"
"305","visdat","3.4.1"
"306","visNetwork","3.4.2"
"307","WDI","3.4.4"
"308","webshot","3.4.3"
"309","whisker","3.4.0"
"310","withr","3.4.4"
"311","XML","3.4.4"
"312","xml2","3.4.3"
"313","xtable","3.4.0"
"314","xts","3.4.4"
"315","yaml","3.4.4"
"316","zip","3.4.0"
"317","zoo","3.4.2"
