"","Package","LibPath","Version","Priority","Built"
"60","drake","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","5.1.2",NA,"3.4.4"
"61","DRR","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.0.3",NA,"3.4.3"
"62","DT","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4",NA,"3.4.3"
"63","e1071","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.6-8",NA,"3.4.0"
"64","enc","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.0",NA,"3.4.3"
"65","etl","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.7",NA,"3.4.2"
"66","evaluate","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.10.1",NA,"3.4.1"
"67","fastmatch","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1-0",NA,"3.4.0"
"68","feather","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.1",NA,"3.4.0"
"69","fec","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.0.0.9013",NA,"3.4.2"
"70","fiftystater","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.1",NA,"3.4.0"
"71","forcats","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.0",NA,"3.4.3"
"72","foreach","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4.4",NA,"3.4.3"
"73","foreign","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.8-69","recommended","3.4.2"
"74","formatR","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.5",NA,"3.4.0"
"75","Formula","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2-3",NA,"3.4.4"
"76","future","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.8.1",NA,"3.4.4"
"77","future.apply","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.0",NA,"3.4.4"
"78","gbm","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.1.3",NA,"3.4.0"
"79","gdata","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.18.0",NA,"3.4.0"
"80","geometry","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3-6",NA,"3.4.0"
"81","geosphere","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.5-7",NA,"3.4.2"
"82","GGally","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4.0",NA,"3.4.4"
"83","ggmap","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.6.1",NA,"3.4.0"
"84","ggplot2","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.0.0",NA,"3.4.4"
"85","ggpubr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.6",NA,"3.4.2"
"86","ggrepel","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.8.0",NA,"3.4.4"
"87","ggsci","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.9",NA,"3.4.4"
"88","ggsignif","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.4.0",NA,"3.4.1"
"89","ggthemes","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.5.0",NA,"3.4.4"
