"","Package","LibPath","Version","Priority","Built"
"261","sets","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0-18",NA,"3.4.3"
"262","sf","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.6-3",NA,"3.4.4"
"263","sfsmisc","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1-2",NA,"3.4.4"
"264","shiny","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.0",NA,"3.4.4"
"265","shinyBS","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.61",NA,"3.4.0"
"266","shinydashboard","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.7.0",NA,"3.4.4"
"267","skimr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.3",NA,"3.4.2"
"268","sourcetools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.7",NA,"3.4.4"
"269","sp","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3-1",NA,"3.4.2"
"270","SparseM","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.77",NA,"3.4.0"
"271","spatial","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","7.3-11","recommended","3.4.2"
"272","spData","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.9.0",NA,"3.4.2"
"273","splines","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"274","SQUAREM","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2017.10-1",NA,"3.4.2"
"275","StanHeaders","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.17.2",NA,"3.4.3"
"276","stargazer","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","5.2.2",NA,"3.4.4"
"277","stats","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"278","stats4","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"279","storr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.0",NA,"3.4.2"
"280","stringdist","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.9.4.7",NA,"3.4.4"
"281","stringi","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.3",NA,"3.4.2"
"282","stringr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3.1",NA,"3.4.4"
"283","styler","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.2",NA,"3.4.4"
"284","survival","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.42-3","recommended","3.4.4"
"285","tcltk","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"286","testthat","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0.0",NA,"3.4.3"
"287","tibble","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4.2",NA,"3.4.3"
"288","tidyr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.8.1",NA,"3.4.4"
"289","tidyselect","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.2.4",NA,"3.4.3"
"290","tidyverse","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.1",NA,"3.4.2"
"291","tigris","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.7",NA,"3.4.4"
"292","timeDate","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3043.102",NA,"3.4.3"
"293","tinytex","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.5",NA,"3.4.4"
"294","tools","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"295","TTR","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.23-3",NA,"3.4.3"
"296","units","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.6-0",NA,"3.4.4"
"297","usethis","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.3.0",NA,"3.4.3"
"298","utf8","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.1.4",NA,"3.4.2"
"299","utils","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.4.2","base","3.4.2"
"300","uuid","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1-2",NA,"3.4.0"
"301","vcd","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.4-4",NA,"3.4.3"
"302","VIM","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","4.7.0",NA,"3.4.0"
"303","viridis","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.5.1",NA,"3.4.4"
"304","viridisLite","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3.0",NA,"3.4.3"
"305","visdat","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.1.0",NA,"3.4.1"
"306","visNetwork","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.0.4",NA,"3.4.2"
"307","WDI","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.5",NA,"3.4.4"
"308","webshot","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.5.0",NA,"3.4.3"
"309","whisker","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.3-2",NA,"3.4.0"
"310","withr","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.1.2",NA,"3.4.4"
"311","XML","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","3.98-1.11",NA,"3.4.4"
"312","xml2","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.2.0",NA,"3.4.3"
"313","xtable","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.8-2",NA,"3.4.0"
"314","xts","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","0.10-2",NA,"3.4.4"
"315","yaml","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","2.1.19",NA,"3.4.4"
"316","zip","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.0.0",NA,"3.4.0"
"317","zoo","/Library/Frameworks/R.framework/Versions/3.4/Resources/library","1.8-2",NA,"3.4.2"
